# id	left	top	right	bottom	texture_id 0 pink, 1 blue, 2 green,3 white
[SPRITES]
111000	919	137	934	152	50
112000	936	137	951	152	50
113000	953	137	968	152	50
114000	919	154	934	169	50
115000	936	154	951	169	50
116000	953	154	968	169	50
117000	919	171	934	186	50
118000	936	171	951	186	50
119000	953	171	968	186	50

111001	970	137	985	152	50
112001	987	137	1002	152	50
113001	1004	137	1019	152	50
114001	970	154	985	169	50
115001	987	154	1002	169	50
116001	1004	154	1019	169	50
117001	970	171	985	186	50
118001	987	171	1002	186	50
119001	1004	171	1019	186	50

111002	919	188	934	203	50
112002	936	188	951	203	50
113002	953	188	968	203	50
114002	919	205	934	220	50
115002	936	205	951	220	50
116002	953	205	968	220	50
117002	919	222	934	237	50
118002	936	222	951	237	50
119002	953	222	968	237	50

111003	970	188	985	203	50
112003	987	188	1002	203	50
113003	1004	188	1019	203	50
114003	970	205	985	220	50
115003	987	205	1002	220	50
116003	1004	205	1019	220	50
117003	970	222	985	237	50
118003	987	222	1002	237	50
119003	1004	222	1019	237	50

#empty sprites
120000	456	113	474	131	20
120001	456	113	474	131	20

#tree
120010	375	324	390	339	50
120011	375	324	390	339	50
120012	375	324	390	339	50

#bushes
120020	307	307	322	322	50
120021	324	307	339	322	50
120022	307	324	322	339	50
120023	341	324	356	339	50
120024	324	324	339	339	50
120025	307	341	322	356	50
120026	324	341	339	356	50
120027	307	341	322	356	70
120028	324	341	339	356	70

#floating bg	fireflower, star, mushroom, smile_cloud
120030	800	86	815	101	50
120031	817	86	832	101	50
120032	834	86	849	101	50

120033	715	1	730	16	70
120034	732	1	747	16	70
120035	749	1	764	16	70
120036	715	18	730	33	70
120037	732	18	747	33	70
120038	749	18	764	33	70

#vertical pipe 
120040	69	35	84	50	70
120041	86	35	101	50	70
120042	69	52	84	67	70
120043	86	52	101	67	70

#dark pipe
120044	1	256	16	271	120
120045	18	256	33	271	120
120046	1	273	16	288	120
120047	18	273	33	288	120

#dark bg
120050	0	0	700	400	130
120051	0	0	700	400	130
120052	0	0	700	400	130
#yellow bg
120060	152	328	165	341	150
120061	152	328	165	341	150
120062	152	328	165	341	150
#world map
120063	4	40	237	201	160
120064	4	40	237	201	160
120065	4	40	237	201	160
#stage clear
120066	272	93	287	108	160
#goal spike
120067	508	176	595	344	170
#goal box
120068	4	4	251	172	170
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
