# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
11112	292	113	307	136	160
11113	312	113	327	136	160
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	362	154	380	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#KICKING BIG
11721	423	274	443	300	0
11711	2	274	22	300	0

#HOLDING RIGHT & LEFT
11821	276	314	290	340	0
11811	305	314	320	340	0
11851	336	234	349	260	0

11841	155	314	169	340	0
11831	124	314	140	340	0
11861	96	234	109	260	0

#USINGPIPE
11630	215	154	230	180	0
#DIE
13001	215	120	234	137	0

############ SMALL ################
#Mini mario world map
12112	252	116	265	131	160
12113	272	116	285	131	160

#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

#HOLD RIGHT & LEFT
12623	246	120	259	135	0
12627	276	120	290	135	0

12624	186	120	199	135	0
12626	155	120	169	135	0
#KICKING RIGHT & LEFT
12723	425	80	440	95	0
12724	5	80	20	95	0

#USING PIPE
12530	216	0	229	14	0
########### TANOOKI ###########
13112	333	113	348	136	160
13113	354	113	369	136	160
#IDLE
13121	243	634	263	661	0
13111	182	634	202	661	0

#WALKING RIGHT
13222	272	634	293	661	0
13223	303	634	323	661	0

#WALKING LEFT
13212	152	634	173	661	0
13213	122	634	142	661	0

#RUNNING RIGHT
13321	331	634	354	661	0
13322	362	634	384	661	0
13323	393	634	413	660	0

#RUNNING LEFT
13311	91	634	114	661	0
13312	61	634	83	661	0
13313	32	634	52	660	0

#JUMP WALK RIGHT & LEFT
13417	391	754	415	780	0
13413	31	754	53	780	0

#JUMP RUN RIGHT & LEFT
13427	331	714	354	740	0
13423	91	714	114	740	0

#SIT RIGHT & LEFT 
13521	422	719	443	736	0
13511	2	719	23	736	0

#BRACE RIGHT & LEFT 
13621	425	634	440	662	0
13611	5	634	22	662	0

#HOLDING RIGHT & LEFT
13721	242	794	262	821	0
